@relation dataset_3_500der_win10
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute d_bandwidth_6 numeric
@attribute bandwidth_7 numeric
@attribute d_bandwidth_7 numeric
@attribute bandwidth_8 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_18',10036,1599,7024,-1689,5335,2349,7684,-1276,6408,-10,6398,-69,6329,-904,5425,-910,4515,'byte_7000'
'time_18',7024,820,5335,2349,7684,-1276,6408,-10,6398,-69,6329,-904,5425,-910,4515,1993,6508,'byte_5500'
'time_18',5335,1176,7684,-1276,6408,-10,6398,-69,6329,-904,5425,-910,4515,1993,6508,-1077,5431,'byte_5000'
'time_18',7684,977,6408,-10,6398,-69,6329,-904,5425,-910,4515,1993,6508,-1077,5431,-911,4520,'byte_9000'
'time_18',6408,1878,6398,-69,6329,-904,5425,-910,4515,1993,6508,-1077,5431,-911,4520,4366,8886,'byte_10000'
'time_18',6398,-2557,6329,-904,5425,-910,4515,1993,6508,-1077,5431,-911,4520,4366,8886,1341,10227,'byte_9000'
'time_19',6329,-4802,5425,-910,4515,1993,6508,-1077,5431,-911,4520,4366,8886,1341,10227,-1699,8528,'byte_10000'
'time_19',5425,-4013,4515,1993,6508,-1077,5431,-911,4520,4366,8886,1341,10227,-1699,8528,3740,12268,'byte_10000'
'time_19',4515,-5760,6508,-1077,5431,-911,4520,4366,8886,1341,10227,-1699,8528,3740,12268,-2041,10227,'byte_9000'
'time_19',6508,-4796,5431,-911,4520,4366,8886,1341,10227,-1699,8528,3740,12268,-2041,10227,-1699,8528,'byte_10000'
'time_19',5431,-4008,4520,4366,8886,1341,10227,-1699,8528,3740,12268,-2041,10227,-1699,8528,3839,12367,'byte_10000'
'time_20',4520,-3481,8886,1341,10227,-1699,8528,3740,12268,-2041,10227,-1699,8528,3839,12367,-2034,10333,'byte_10000'
'time_20',8886,-106,10227,-1699,8528,3740,12268,-2041,10227,-1699,8528,3839,12367,-2034,10333,-1,10332,'byte_9000'
'time_20',10227,-1804,8528,3740,12268,-2041,10227,-1699,8528,3839,12367,-2034,10333,-1,10332,-1721,8611,'byte_10000'
'time_20',8528,3657,12268,-2041,10227,-1699,8528,3839,12367,-2034,10333,-1,10332,-1721,8611,3783,12394,'byte_10000'
'time_20',12268,-2167,10227,-1699,8528,3839,12367,-2034,10333,-1,10332,-1721,8611,3783,12394,-2048,10346,'byte_9000'
'time_20',10227,-1818,8528,3839,12367,-2034,10333,-1,10332,-1721,8611,3783,12394,-2048,10346,-1740,8606,'byte_10000'
'time_21',8528,3761,12367,-2034,10333,-1,10332,-1721,8611,3783,12394,-2048,10346,-1740,8606,3795,12401,'byte_10000'
'time_21',12367,-2068,10333,-1,10332,-1721,8611,3783,12394,-2048,10346,-1740,8606,3795,12401,-2075,10326,'byte_9000'
'time_21',10333,6,10332,-1721,8611,3783,12394,-2048,10346,-1740,8606,3795,12401,-2075,10326,-1716,8610,'byte_10000'
'time_21',10332,1,8611,3783,12394,-2048,10346,-1740,8606,3795,12401,-2075,10326,-1716,8610,1717,10327,'byte_10000'
'time_21',8611,2067,12394,-2048,10346,-1740,8606,3795,12401,-2075,10326,-1716,8610,1717,10327,495,10822,'byte_7500'
'time_21',12394,-476,10346,-1740,8606,3795,12401,-2075,10326,-1716,8610,1717,10327,495,10822,-3588,7234,'byte_6500'
'time_22',10346,1372,8606,3795,12401,-2075,10326,-1716,8610,1717,10327,495,10822,-3588,7234,-1206,6028,'byte_9000'
'time_22',8606,6373,12401,-2075,10326,-1716,8610,1717,10327,495,10822,-3588,7234,-1206,6028,2646,8674,'byte_7500'
'time_22',12401,1652,10326,-1716,8610,1717,10327,495,10822,-3588,7234,-1206,6028,2646,8674,-1446,7228,'byte_6500'
'time_22',10326,1382,8610,1717,10327,495,10822,-3588,7234,-1206,6028,2646,8674,-1446,7228,-1194,6034,'byte_6500'
'time_22',8610,4293,10327,495,10822,-3588,7234,-1206,6028,2646,8674,-1446,7228,-1194,6034,165,6199,'byte_6500'
'time_23',10327,4623,10822,-3588,7234,-1206,6028,2646,8674,-1446,7228,-1194,6034,165,6199,-3,6196,'byte_6500'
'time_23',10822,1038,7234,-1206,6028,2646,8674,-1446,7228,-1194,6034,165,6199,-3,6196,8,6204,'byte_6500'
'time_23',7234,-176,6028,2646,8674,-1446,7228,-1194,6034,165,6199,-3,6196,8,6204,-10,6194,'byte_6500'
'time_23',6028,2480,8674,-1446,7228,-1194,6034,165,6199,-3,6196,8,6204,-10,6194,3,6197,'byte_4500'
'time_23',8674,1031,7228,-1194,6034,165,6199,-3,6196,8,6204,-10,6194,3,6197,-2095,4102,'byte_5000'
'time_23',7228,1932,6034,165,6199,-3,6196,8,6204,-10,6194,3,6197,-2095,4102,853,4955,'byte_4500'
